  Interval   |   sin(interval)   |   cos(interval)
---------------------------------------------------
  0.00       |   0.0000           |   1.0000
  0.10       |   0.0998           |   0.9950
  0.20       |   0.1987           |   0.9801
  0.30       |   0.2955           |   0.9553
  0.40       |   0.3894           |   0.9211
  0.50       |   0.4794           |   0.8776
  0.60       |   0.5646           |   0.8253
  0.70       |   0.6442           |   0.7648
  0.80       |   0.7174           |   0.6967
  0.90       |   0.7833           |   0.6216
  1.00       |   0.8415           |   0.5403
